candidate_course_label,candidate_jurisdiction,provisional_races,decision,decision_reason,physical_venue_name,iana_timezone,requests_sent,requests_reused
Fontainebleau,France,122,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Fair Grounds,United States,112,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Tampa Bay Downs,United States,107,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Pimlico,United States,100,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Cologne,Germany,97,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Dusseldorf,Germany,95,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Hipodromo Chile,Chile,93,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,3
Toulouse,France,92,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Club Hipico de Santiago,Chile,91,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,3
Hoppegarten,Germany,87,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Kentucky Downs,United States,86,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Parx,United States,85,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Monterrico,Peru,84,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,3
Al Ain,United Arab Emirates,84,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Newcastle,Australia,77,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Ellerslie,New Zealand,77,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Lyon Parilly,France,73,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Hanover,Germany,72,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Laurel Park,United States,71,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Arlington Park,United States,70,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,2
Hamburg,Germany,69,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Fonner Park,United States,68,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Maronas,Uruguay,68,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,3
Bro Park,Sweden,64,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Bahrain,Bahrain,63,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Doha,Qatar,61,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Laytown,Ireland,60,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Sharjah,United Arab Emirates,57,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Golden Gate Fields,United States,54,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Pau,France,51,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Trentham,New Zealand,50,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Veliefendi,Turkey,50,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Delaware Park,United States,49,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Los Alamitos,United States,48,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Munich,Germany,45,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Craon,France,44,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Nantes,France,44,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
La Teste De Buch,France,43,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Riyadh,Saudi Arabia,41,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
St Moritz,Switzerland,40,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,3
Indiana Grand,United States,40,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Fukushima,Japan,39,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Kembla Grange,Australia,38,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Ovrevoll,Norway,37,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Ohi,Japan,35,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Turffontein Inside,South Africa,34,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Hawkesbury,Australia,33,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Ellis Park,United States,33,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Dortmund,Germany,32,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Sakhir,Bahrain,29,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Le Lion-D'Angers,France,29,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Hastings,New Zealand,28,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Krefeld,Germany,25,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Remington Park,United States,25,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Charles town,United States,24,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Turfway Park,United States,24,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Far Hills,United States,23,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Hobart,Australia,22,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
